seed,gen,best,champChanged,champAge,sigma,baseline
0,54,0.9385,0,37,0.1705,
0,54,1.0302,0,3,0.1705,
0,54,0.9897,0,54,0.1705,
0,54,1.0572,0,54,0.1705,
0,55,0.7491,0,7,0.1704,0.8333
0,55,0.8138,0,38,0.1704,0.9653
0,55,1.0176,0,4,0.1704,0.9444
0,55,0.9938,0,55,0.1704,0.9722
0,55,1.0750,0,55,0.1704,0.9722
0,56,0.9565,1,0,0.1702,
0,56,0.8985,0,39,0.1702,
0,56,1.0294,0,5,0.1702,
0,56,0.9799,0,56,0.1702,
0,56,1.0589,0,56,0.1702,
0,57,0.7328,0,1,0.1700,
0,57,0.8496,0,40,0.1700,
0,57,1.0422,0,6,0.1700,
0,57,0.9977,0,57,0.1700,
0,57,1.0705,0,57,0.1700,
0,58,0.7461,0,2,0.1699,
0,58,0.9180,0,41,0.1699,
0,58,1.0014,0,7,0.1699,
0,58,1.0139,0,58,0.1699,
0,58,1.0747,0,58,0.1699,
0,59,0.7404,0,3,0.1697,
0,59,0.8877,0,42,0.1697,
0,59,1.0376,0,8,0.1697,
0,59,1.0261,0,59,0.1697,
0,59,1.0746,0,59,0.1697,
0,60,0.8831,0,4,0.1695,0.9444
0,60,0.9044,0,43,0.1695,0.9028
0,60,1.0267,0,9,0.1695,0.9583
0,60,1.0064,0,60,0.1695,1.0000
0,60,1.0742,0,60,0.1695,0.9722
0,61,0.7919,0,5,0.1693,
0,61,0.9364,0,44,0.1693,
0,61,1.0422,0,10,0.1693,
0,61,1.0219,0,61,0.1693,
0,61,1.0665,0,61,0.1693,
0,62,0.7020,0,6,0.1692,
0,62,0.9022,0,45,0.1692,
0,62,1.0406,0,11,0.1692,
0,62,0.9356,0,62,0.1692,
0,62,1.0552,0,62,0.1692,
0,63,0.9393,0,7,0.1690,
0,63,0.8865,0,46,0.1690,
0,63,1.0619,0,12,0.1690,
0,63,1.0652,0,63,0.1690,
0,63,1.0555,0,63,0.1690,
0,64,0.9563,0,8,0.1688,
0,64,0.9370,0,47,0.1688,
0,64,1.0663,1,0,0.1688,
0,64,0.9970,0,64,0.1688,
0,64,1.0499,0,64,0.1688,
0,65,0.8178,0,9,0.1687,0.8472
0,65,0.8354,0,48,0.1687,0.9653
0,65,1.0585,0,1,0.1687,0.9861
0,65,0.9737,0,65,0.1687,0.9722
0,65,1.0371,0,65,0.1687,0.9722
0,66,0.8375,0,10,0.1685,
0,66,0.8204,0,49,0.1685,
0,66,1.0086,0,2,0.1685,
0,66,0.9680,0,66,0.1685,
0,66,1.0575,0,66,0.1685,
0,67,0.6896,0,11,0.1683,
0,67,0.8407,0,50,0.1683,
0,67,1.0555,0,3,0.1683,
0,67,1.0047,0,67,0.1683,
0,67,1.0001,0,67,0.1683,
0,68,0.7396,0,12,0.1682,
0,68,0.8790,0,51,0.1682,
0,68,1.0771,1,0,0.1682,
0,68,0.9583,0,68,0.1682,
0,68,0.9931,0,68,0.1682,
0,69,0.6916,0,13,0.1680,
0,69,0.8602,0,52,0.1680,
0,69,1.0586,0,1,0.1680,
0,69,0.9936,0,69,0.1680,
0,69,1.0351,0,69,0.1680,
0,70,0.7770,0,14,0.1678,0.8194
0,70,0.8312,0,53,0.1678,0.9653
0,70,0.9703,0,2,0.1678,0.9861
0,70,1.0094,0,70,0.1678,0.9583
0,70,1.0388,0,70,0.1678,0.9722
0,71,0.7444,0,15,0.1677,
0,71,0.8518,0,54,0.1677,
0,71,0.9152,0,3,0.1677,
0,71,0.9919,0,71,0.1677,
0,71,1.0613,0,71,0.1677,
0,72,0.6917,0,16,0.1675,
0,72,0.8670,0,55,0.1675,
0,72,0.9706,0,4,0.1675,
0,72,0.9733,0,72,0.1675,
0,72,1.0570,0,72,0.1675,
0,73,0.8655,0,17,0.1673,
0,73,0.8437,0,56,0.1673,
0,73,0.9304,0,5,0.1673,
0,73,1.0236,0,73,0.1673,
0,73,1.0740,0,73,0.1673,
0,74,0.8923,0,18,0.1672,
0,74,0.8645,0,57,0.1672,
0,74,0.9852,0,6,0.1672,
0,74,1.0035,0,74,0.1672,
0,74,1.0241,0,74,0.1672,
0,75,0.6745,0,19,0.1670,0.8194
0,75,0.9104,0,58,0.1670,0.9653
0,75,1.0327,0,7,0.1670,0.9583
0,75,0.9969,0,75,0.1670,0.9722
0,75,1.0389,0,75,0.1670,0.9861
0,76,0.6918,0,20,0.1668,
0,76,0.8703,0,59,0.1668,
0,76,1.0605,0,8,0.1668,
0,76,0.9632,0,76,0.1668,
0,76,1.0057,0,76,0.1668,
0,77,0.6802,0,21,0.1667,
0,77,0.9112,0,60,0.1667,
0,77,1.0378,0,9,0.1667,
0,77,0.9881,0,77,0.1667,
0,77,1.0582,0,77,0.1667,
0,78,0.6915,0,22,0.1665,
0,78,0.9081,0,61,0.1665,
0,78,1.0060,0,10,0.1665,
0,78,0.9641,0,78,0.1665,
0,78,1.0380,0,78,0.1665,
0,79,0.6902,0,23,0.1663,
0,79,0.8794,0,62,0.1663,
0,79,1.0343,0,11,0.1663,
0,79,0.9961,0,79,0.1663,
0,79,1.0750,0,79,0.1663,

1,0,0.6343,1,0,0.1800,0.6250
1,0,1.0304,1,0,0.1800,0.9444
1,0,1.0061,1,0,0.1800,0.9444
1,0,1.0616,1,0,0.1800,0.9653
1,0,1.0740,1,0,0.1800,0.9861
1,1,0.6922,1,0,0.1798,
1,1,0.7803,0,1,0.1798,
1,1,0.9749,0,1,0.1798,
1,1,0.9792,0,1,0.1798,
1,1,1.0623,0,1,0.1798,
1,2,0.6560,0,1,0.1796,
1,2,0.8398,0,2,0.1796,
1,2,0.9102,0,2,0.1796,
1,2,1.0219,0,2,0.1796,
1,2,1.0296,0,2,0.1796,
1,3,0.6830,0,2,0.1795,
1,3,0.8139,0,3,0.1795,
1,3,1.0225,1,0,0.1795,
1,3,0.9619,0,3,0.1795,
1,3,1.0548,0,3,0.1795,
1,4,0.6881,0,3,0.1793,
1,4,0.9210,0,4,0.1793,
1,4,0.9931,0,1,0.1793,
1,4,0.9700,0,4,0.1793,
1,4,1.0172,0,4,0.1793,
1,5,0.7373,1,0,0.1791,0.6250
1,5,0.8300,0,5,0.1791,0.9792
1,5,0.9725,0,2,0.1791,0.9167
1,5,0.9848,0,5,0.1791,0.9861
1,5,1.0411,0,5,0.1791,0.9722
1,6,0.7053,0,1,0.1789,
1,6,0.8680,0,6,0.1789,
1,6,0.9602,0,3,0.1789,
1,6,0.9983,0,6,0.1789,
1,6,0.9862,0,6,0.1789,
1,7,0.6388,0,2,0.1787,
1,7,0.8096,0,7,0.1787,
1,7,0.9566,0,4,0.1787,
1,7,1.0405,0,7,0.1787,
1,7,0.9829,0,7,0.1787,
1,8,0.5728,0,3,0.1786,
1,8,0.9061,0,8,0.1786,
1,8,0.9820,0,5,0.1786,
1,8,1.0177,0,8,0.1786,
1,8,1.0372,0,8,0.1786,
1,9,0.5358,0,4,0.1784,
1,9,0.8207,0,9,0.1784,
1,9,0.9455,0,6,0.1784,
1,9,1.0211,0,9,0.1784,
1,9,1.0265,0,9,0.1784,
1,10,0.6151,0,5,0.1782,0.6042
1,10,0.9047,0,10,0.1782,0.9792
1,10,0.9525,0,7,0.1782,0.9444
1,10,1.0079,0,10,0.1782,0.9861
1,10,1.0397,0,10,0.1782,0.9722
1,11,0.6189,0,6,0.1780,
1,11,0.8664,0,11,0.1780,
1,11,0.9214,0,8,0.1780,
1,11,1.0571,0,11,0.1780,
1,11,1.0187,0,11,0.1780,
1,12,0.5668,0,7,0.1779,
1,12,0.9327,0,12,0.1779,
1,12,0.9126,0,9,0.1779,
1,12,1.0073,0,12,0.1779,
1,12,1.0645,0,12,0.1779,
1,13,0.6988,0,8,0.1777,
1,13,0.8734,0,13,0.1777,
1,13,0.9140,0,10,0.1777,
1,13,0.9624,0,13,0.1777,
